CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_IV_A_VL_PL;TAB_IV_B_VL_PL_MEDIO
37.651.102/0001-87;BARCELONA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;78683487.01;75082538.07
37.654.045/0001-90;QUATÁ NX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;138137778.92;136676715.68
37.676.161/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ SABEMI CONSIGNADOS XI - RESPONSABILIDADE LIMITADA;2024-11-30;83196109.05;0.00
37.683.354/0001-98;MFD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;0.00;0.00
37.703.020/0001-39;VIOLIN 8432 CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;29460841.11;41572478.23
37.720.020/0001-47;FIDC MILAS II - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;275802802.29;274680035.55
37.720.148/0001-00;VIOLIN 8432 (2) CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;42872560.33;42156478.28
37.720.328/0001-92;C3E CRÉDITOS JUDICIAIS FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;172350277.72;168706817.82
37.720.508/0001-74;PEREGRINE BRAZIL - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;76579886.63;76155871.47
37.780.694/0001-37;PRECATÓRIOS BR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;25376070.29;22951352.15
37.910.672/0001-44;SANTOFORTE FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS;2024-11-30;13237041.04;13205574.71
37.980.187/0001-47;QUINTO ANDAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;27789010.16;0.00
38.001.854/0001-65;ALCANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;6155752.28;6020251.20
38.025.934/0001-50;JGP SPECIAL SITUATIONS MASTER I FIDC DE RESPONSABILIDADE LIMITADA;2024-11-30;8785379.96;7869350.74
38.051.251/0001-78;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IS SOLAR KOMPASS ENERGIA;2024-11-30;55097304.71;52820044.86
38.058.318/0001-04;DAYCOVAL CLASSIC ESTRUTURADO FIC DE FIDC DE RESPONSABILIDADE LIMITADA;2024-11-30;76233104.70;71824522.77
38.082.159/0001-75;FACTA INSS CB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;385882152.22;0.00
38.134.439/0001-80;TCN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA;2024-11-30;4999230.03;4986527.87
38.137.056/0001-65;UNITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;126228551.47;122632799.76
38.137.103/0001-70;TRACTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;115282004.50;114282609.69
38.137.153/0001-58;FIDC DE LOCAÇÃO DE VEÍCULOS KOVI I RESPONSABILIDADE LIMITADA;2024-11-30;146127714.80;157015492.96
38.168.015/0001-36;AVANTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;72077468.32;73959217.51
38.181.581/0001-88;CO-INVEST I BLACK BELT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;11988518.93;11995263.47
38.195.107/0001-05;EXITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;0.00;0.00
38.267.680/0001-87;V051 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;106816144.78;105798599.11
38.284.301/0001-67;SAV NEXOOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;3765160.32;4312612.47
38.305.894/0001-09;BTG PACTUAL BANKING CONSIGNADO PRIVADO FIDC;2024-11-30;0.00;16270889.99
38.305.947/0001-83;ESTRUTURADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;128468058.01;157830941.73
38.314.663/0001-53;EMUNAH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;51123465.85;41005626.83
38.314.763/0001-80;SOMA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;1018079593.48;2798799370.37
38.314.792/0001-41;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ARANDU;2024-11-30;0.00;0.00
38.315.039/0001-70;GYRA MAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS;2024-11-30;515318.27;506715.84
38.315.137/0001-08;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ESTRUTURADO ZIG;2024-11-30;32125353.62;31812986.77
38.315.167/0001-14;AQUILA BR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;28488875.51;16208037.60
38.315.192/0001-06;FIRMA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;21530822.04;20609170.75
38.328.747/0001-46;JUSINVEST I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS;2024-11-30;29945557.77;29945557.77
38.376.526/0001-43;HOTFUND FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;1647376348.24;53304631550.28
38.385.876/0001-76;ESTRATÉGIA EDUCACIONAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;32889115.31;34126502.79
38.421.626/0001-44;CRONOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2024-11-30;69539561.01;68362604.42
38.440.284/0001-00;CANAL 75 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;53563777.17;55127828.24
38.447.838/0001-09;PHENIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;80252347.41;81772387.54
38.448.253/0001-03;FRAM CAPITAL BALTO FUNDO DE INVESTIMENTO E DIREITOS CREDITORIOS NAO - PADRONIZADOS;2024-11-30;18098245.63;18570468.94
38.455.405/0001-97;WELLESLEY II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;3961465.00;4499298.57
38.455.413/0001-33;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - SIMPAR;2024-11-30;207037737.64;205200263.78
38.455.434/0001-59;CAPITÂNIA CORPORATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;355632290.87;350428299.29
38.455.447/0001-28;DONUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;97189.67
38.456.773/0001-50;RONEPAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;47797546.60;49949092.70
38.472.268/0001-07;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RBR I;2024-11-30;28276772.60;27954865.24
38.612.809/0001-47;GETNET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;18664522.79;18872549.11
38.658.727/0001-33;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FORNECEDORES MADEIRA MADEIRA I;2024-11-30;127537740.37;127395700.40
